
 customer no 242  and interarrival :0.557 minutes


 customer no 243  and interarrival :0.578 minutes


 customer no 244  and interarrival :0.593 minutes


 customer no 245  and interarrival :2.473 minutes


 customer no 246  and interarrival :1.070 minutes


 customer no 247  and interarrival :0.189 minutes


 customer no 248  and interarrival :1.060 minutes


 customer no 249  and interarrival :0.130 minutes


 customer no 250  and interarrival :1.935 minutes


 customer no 251  and interarrival :2.008 minutes


 customer no 252  and interarrival :0.158 minutes


 customer no 253  and interarrival :0.089 minutes


 customer no 253  and interarrival :2.024 minutes


 customer no 255  and interarrival :0.183 minutes


 customer no 256  and interarrival :1.789 minutes


 customer no 257  and interarrival :0.086 minutes


 customer no 258  and interarrival :0.433 minutes


 customer no 259  and interarrival :0.059 minutes


 customer no 259  and interarrival :1.127 minutes


 customer no 260  and interarrival :1.614 minutes


 customer no 262  and interarrival :2.073 minutes


 customer no 263  and interarrival :1.169 minutes


 customer no 264  and interarrival :1.878 minutes


 customer no 265  and interarrival :0.338 minutes


 customer no 266  and interarrival :0.265 minutes


 customer no 267  and interarrival :0.295 minutes


 customer no 267  and interarrival :0.119 minutes


 customer no 268  and interarrival :1.620 minutes


 customer no 270  and interarrival :3.299 minutes


 customer no 271  and interarrival :0.450 minutes


 customer no 272  and interarrival :1.087 minutes


 customer no 273  and interarrival :0.301 minutes


 customer no 274  and interarrival :0.353 minutes


 customer no 275  and interarrival :0.189 minutes


 customer no 276  and interarrival :3.136 minutes


 customer no 277  and interarrival :0.165 minutes


 customer no 278  and interarrival :0.388 minutes


 customer no 279  and interarrival :0.362 minutes


 customer no 279  and interarrival :0.458 minutes


 customer no 279  and interarrival :0.007 minutes


 customer no 279  and interarrival :0.574 minutes


 customer no 281  and interarrival :0.028 minutes


 customer no 281  and interarrival :0.540 minutes


 customer no 283  and interarrival :0.285 minutes


 customer no 283  and interarrival :1.200 minutes


 customer no 286  and interarrival :0.868 minutes


 customer no 287  and interarrival :1.001 minutes


 customer no 289  and interarrival :1.367 minutes


 customer no 290  and interarrival :2.164 minutes


 customer no 291  and interarrival :0.423 minutes


 customer no 292  and interarrival :2.101 minutes


 customer no 293  and interarrival :0.541 minutes


 customer no 294  and interarrival :0.160 minutes


 customer no 295  and interarrival :1.001 minutes


 customer no 295  and interarrival :0.271 minutes


 customer no 297  and interarrival :1.049 minutes


 customer no 298  and interarrival :0.217 minutes


 customer no 299  and interarrival :1.203 minutes


 customer no 300  and interarrival :3.155 minutes


 customer no 301  and interarrival :0.120 minutes


 customer no 302  and interarrival :0.155 minutes


 customer no 302  and interarrival :1.031 minutes


 customer no 304  and interarrival :2.044 minutes


 customer no 305  and interarrival :0.576 minutes


 customer no 306  and interarrival :0.129 minutes


 customer no 307  and interarrival :0.100 minutes


 customer no 307  and interarrival :2.935 minutes


 customer no 309  and interarrival :1.669 minutes


 customer no 310  and interarrival :0.339 minutes


 customer no 311  and interarrival :0.087 minutes


 customer no 311  and interarrival :0.570 minutes


 customer no 312  and interarrival :0.371 minutes


 customer no 313  and interarrival :1.203 minutes


 customer no 313  and interarrival :0.263 minutes


 customer no 313  and interarrival :1.449 minutes


 customer no 317  and interarrival :0.169 minutes


 customer no 318  and interarrival :0.351 minutes


 customer no 319  and interarrival :1.867 minutes


 customer no 319  and interarrival :0.217 minutes


 customer no 319  and interarrival :0.234 minutes


 customer no 319  and interarrival :0.187 minutes


 customer no 319  and interarrival :0.750 minutes


 customer no 319  and interarrival :0.693 minutes


 customer no 321  and interarrival :2.201 minutes


 customer no 323  and interarrival :0.279 minutes


 customer no 323  and interarrival :3.396 minutes


 customer no 328  and interarrival :0.598 minutes


 customer no 329  and interarrival :0.379 minutes


 customer no 330  and interarrival :1.621 minutes


 customer no 331  and interarrival :0.272 minutes


 customer no 332  and interarrival :1.434 minutes


 customer no 333  and interarrival :0.875 minutes


 customer no 334  and interarrival :0.562 minutes


 customer no 335  and interarrival :0.596 minutes


 customer no 336  and interarrival :0.748 minutes


 customer no 337  and interarrival :0.707 minutes


 customer no 338  and interarrival :1.390 minutes


 customer no 339  and interarrival :2.048 minutes


 customer no 340  and interarrival :0.512 minutes


 customer no 341  and interarrival :0.906 minutes


 customer no 342  and interarrival :0.042 minutes


 customer no 343  and interarrival :0.263 minutes


 customer no 343  and interarrival :0.152 minutes


 customer no 344  and interarrival :0.176 minutes


 customer no 344  and interarrival :0.742 minutes


 customer no 345  and interarrival :0.123 minutes


 customer no 345  and interarrival :2.406 minutes


 customer no 348  and interarrival :0.684 minutes


 customer no 350  and interarrival :0.239 minutes


 customer no 350  and interarrival :0.180 minutes


 customer no 352  and interarrival :1.378 minutes


 customer no 353  and interarrival :2.748 minutes


 customer no 354  and interarrival :0.892 minutes


 customer no 355  and interarrival :0.425 minutes


 customer no 356  and interarrival :0.632 minutes


 customer no 356  and interarrival :0.198 minutes


 customer no 356  and interarrival :1.190 minutes


 customer no 357  and interarrival :2.147 minutes


 customer no 360  and interarrival :0.648 minutes


 customer no 361  and interarrival :0.730 minutes


 customer no 361  and interarrival :0.968 minutes


 customer no 363  and interarrival :0.640 minutes


 customer no 364  and interarrival :0.538 minutes


 customer no 365  and interarrival :0.727 minutes


 customer no 366  and interarrival :0.526 minutes


 customer no 367  and interarrival :0.385 minutes


 customer no 368  and interarrival :0.560 minutes


 customer no 369  and interarrival :3.184 minutes


 customer no 370  and interarrival :0.243 minutes


 customer no 371  and interarrival :0.015 minutes


 customer no 371  and interarrival :0.643 minutes


 customer no 373  and interarrival :0.686 minutes


 customer no 374  and interarrival :0.957 minutes


 customer no 375  and interarrival :0.992 minutes


 customer no 376  and interarrival :1.720 minutes


 customer no 377  and interarrival :1.283 minutes


 customer no 378  and interarrival :6.860 minutes


 customer no 379  and interarrival :0.526 minutes


 customer no 380  and interarrival :1.140 minutes


 customer no 381  and interarrival :1.078 minutes


 customer no 382  and interarrival :0.209 minutes


 customer no 383  and interarrival :0.024 minutes


 customer no 384  and interarrival :0.341 minutes


 customer no 384  and interarrival :0.048 minutes


 customer no 384  and interarrival :0.833 minutes


 customer no 385  and interarrival :1.664 minutes


 customer no 386  and interarrival :3.180 minutes


 customer no 389  and interarrival :0.182 minutes


 customer no 390  and interarrival :2.317 minutes


 customer no 391  and interarrival :0.059 minutes


 customer no 392  and interarrival :0.291 minutes


 customer no 393  and interarrival :0.221 minutes


 customer no 394  and interarrival :0.815 minutes


 customer no 395  and interarrival :3.263 minutes


 customer no 396  and interarrival :2.357 minutes


 customer no 397  and interarrival :2.022 minutes


 customer no 398  and interarrival :0.210 minutes


 customer no 399  and interarrival :2.870 minutes


 customer no 400  and interarrival :0.672 minutes


 customer no 401  and interarrival :0.940 minutes


 customer no 402  and interarrival :1.164 minutes


 customer no 403  and interarrival :0.456 minutes


 customer no 404  and interarrival :0.733 minutes


 customer no 404  and interarrival :0.652 minutes


 customer no 406  and interarrival :0.815 minutes


 customer no 407  and interarrival :1.564 minutes


 customer no 408  and interarrival :0.563 minutes


 customer no 409  and interarrival :0.758 minutes


 customer no 410  and interarrival :1.791 minutes


 customer no 411  and interarrival :0.597 minutes


 customer no 412  and interarrival :0.921 minutes


 customer no 413  and interarrival :0.443 minutes


 customer no 413  and interarrival :0.127 minutes


 customer no 414  and interarrival :3.129 minutes


 customer no 416  and interarrival :1.091 minutes


 customer no 417  and interarrival :0.842 minutes


 customer no 418  and interarrival :0.782 minutes


 customer no 419  and interarrival :0.026 minutes


 customer no 420  and interarrival :0.292 minutes


 customer no 420  and interarrival :0.622 minutes


