
 customer no 203  and interarrival :0.099 minutes


 customer no 204  and interarrival :1.119 minutes


 customer no 205  and interarrival :0.270 minutes


 customer no 206  and interarrival :0.332 minutes


 customer no 206  and interarrival :3.666 minutes


 customer no 208  and interarrival :0.053 minutes


 customer no 209  and interarrival :0.613 minutes


 customer no 210  and interarrival :0.194 minutes


 customer no 210  and interarrival :0.388 minutes


 customer no 211  and interarrival :1.680 minutes


 customer no 213  and interarrival :4.173 minutes


 customer no 214  and interarrival :0.471 minutes


 customer no 215  and interarrival :0.094 minutes


 customer no 216  and interarrival :0.262 minutes


 customer no 217  and interarrival :0.371 minutes


 customer no 218  and interarrival :0.591 minutes


 customer no 218  and interarrival :0.225 minutes


 customer no 218  and interarrival :0.989 minutes


 customer no 220  and interarrival :2.322 minutes


 customer no 222  and interarrival :0.311 minutes


 customer no 223  and interarrival :0.289 minutes


 customer no 223  and interarrival :1.062 minutes


 customer no 223  and interarrival :1.087 minutes


 customer no 226  and interarrival :2.805 minutes


 customer no 227  and interarrival :1.142 minutes


 customer no 228  and interarrival :0.716 minutes


 customer no 229  and interarrival :0.360 minutes


 customer no 230  and interarrival :1.307 minutes


 customer no 231  and interarrival :0.413 minutes


 customer no 232  and interarrival :0.116 minutes


 customer no 233  and interarrival :0.992 minutes


 customer no 234  and interarrival :1.242 minutes


 customer no 235  and interarrival :0.349 minutes


 customer no 236  and interarrival :3.016 minutes


 customer no 237  and interarrival :0.676 minutes


 customer no 238  and interarrival :0.754 minutes


 customer no 239  and interarrival :0.586 minutes


 customer no 240  and interarrival :1.959 minutes


 customer no 241  and interarrival :0.548 minutes


 customer no 242  and interarrival :0.590 minutes


 customer no 243  and interarrival :1.359 minutes


 customer no 244  and interarrival :0.107 minutes


 customer no 245  and interarrival :0.044 minutes


 customer no 246  and interarrival :0.893 minutes


 customer no 247  and interarrival :0.143 minutes


 customer no 248  and interarrival :0.590 minutes


 customer no 248  and interarrival :0.135 minutes


 customer no 248  and interarrival :1.073 minutes


 customer no 251  and interarrival :0.656 minutes


 customer no 251  and interarrival :0.508 minutes


 customer no 252  and interarrival :0.145 minutes


 customer no 253  and interarrival :1.368 minutes


 customer no 255  and interarrival :1.113 minutes


 customer no 256  and interarrival :0.078 minutes


 customer no 256  and interarrival :0.492 minutes


 customer no 257  and interarrival :0.665 minutes


 customer no 257  and interarrival :0.795 minutes


 customer no 258  and interarrival :1.141 minutes


 customer no 261  and interarrival :0.633 minutes


 customer no 262  and interarrival :1.094 minutes


 customer no 263  and interarrival :0.292 minutes


 customer no 264  and interarrival :0.276 minutes


 customer no 265  and interarrival :0.415 minutes


 customer no 266  and interarrival :4.121 minutes


 customer no 267  and interarrival :0.761 minutes


 customer no 268  and interarrival :0.277 minutes


 customer no 269  and interarrival :2.109 minutes


 customer no 270  and interarrival :0.281 minutes


 customer no 271  and interarrival :1.375 minutes


 customer no 272  and interarrival :0.052 minutes


 customer no 273  and interarrival :5.336 minutes


 customer no 274  and interarrival :0.165 minutes


 customer no 275  and interarrival :1.672 minutes


 customer no 276  and interarrival :2.574 minutes


 customer no 277  and interarrival :0.817 minutes


 customer no 278  and interarrival :0.362 minutes


 customer no 279  and interarrival :0.602 minutes


 customer no 280  and interarrival :1.342 minutes


 customer no 281  and interarrival :0.454 minutes


 customer no 282  and interarrival :0.417 minutes


 customer no 283  and interarrival :0.222 minutes


 customer no 284  and interarrival :0.668 minutes


 customer no 285  and interarrival :0.583 minutes


 customer no 286  and interarrival :1.329 minutes


 customer no 287  and interarrival :0.457 minutes


 customer no 288  and interarrival :2.207 minutes


 customer no 289  and interarrival :0.180 minutes


 customer no 290  and interarrival :0.460 minutes


 customer no 291  and interarrival :2.025 minutes


 customer no 292  and interarrival :1.146 minutes


 customer no 293  and interarrival :0.536 minutes


 customer no 294  and interarrival :1.842 minutes


 customer no 295  and interarrival :0.629 minutes


 customer no 296  and interarrival :1.930 minutes


 customer no 297  and interarrival :1.484 minutes


 customer no 298  and interarrival :0.179 minutes


 customer no 299  and interarrival :1.794 minutes


 customer no 300  and interarrival :2.334 minutes


 customer no 301  and interarrival :0.615 minutes


 customer no 302  and interarrival :0.293 minutes


 customer no 303  and interarrival :0.689 minutes


